team,num_players,total_current_usage,total_adjusted_usage,current_team_bpm,optimal_team_bpm,bpm_improvement
North Carolina Central,10,205.14056357585773,100.0,-18.82414758606476,-0.5244518984182287,18.299695687646533
BYU,10,178.34213797640265,100.0,6.974319973602165,7.102553270503523,0.12823329690135843
Cal Poly,12,223.92997853765996,99.99999999999997,-4.998742017261702,0.4387787405393765,5.437520757801079
North Carolina,10,189.72456433073785,100.0,6.00074902798001,6.200096573632687,0.1993475456526772
Lamar,10,191.30462074727046,99.99999999999999,-8.245669017588192,1.345218867966598,9.590887885554789
Akron,11,194.37333444741532,100.00000000000003,2.0041488123109783,5.034726976634251,3.0305781643232725
Iowa,11,221.67541070482247,100.0,6.267225133112829,4.740292530036737,-1.5269326030760917
Fairleigh Dickinson,9,169.37030684513442,99.99999999999999,-8.141218093623086,0.17137675262475044,8.312594846247837
Niagara,10,202.53162700517873,100.0,-10.51428873766035,-0.8984758302417205,9.61581290741863
Loyola MD,11,205.19010407239819,100.00000000000001,-7.91144752733169,-0.44500435774576597,7.466443169585924
New Haven,12,218.43131007554538,99.99999999999999,-13.05801129761533,-2.491317232460468,10.566694065154863
Weber St.,10,183.8907471264368,99.99999999999999,-3.06706678795694,0.9145497341511251,3.981616522108065
Portland,10,190.1511798187445,100.0,-3.087890827620827,2.1886044038346113,5.2764952314554385
Pittsburgh,8,158.25023923444977,100.0,-0.655227295231464,4.093851526124737,4.749078821356201
Creighton,12,225.63637734814208,100.00000000000001,1.7337280943368487,6.893139695280176,5.1594116009433275
Southeastern Louisiana,11,208.53250000000006,99.99999999999999,-11.381463052051572,-2.231994573870012,9.14946847818156
Long Beach St.,10,196.269055678939,100.0,-8.592631773349636,-0.45695660842227354,8.135675164927362
Texas Tech,10,195.0598854968561,100.00000000000001,4.985030327431958,8.398103500917294,3.413073173485336
Illinois,10,195.15437751289144,100.0,5.974048239854014,9.128311376868174,3.1542631370141603
Stanford,11,195.45995940531637,100.00000000000001,0.6331640528674153,4.724806068913773,4.091642016046358
